Model,RTH1004
SerialNumber,104946
Firmware Version,'1.80.3.4'

Acquisition Time Stamp,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736
Waveform Type,DIGITAL,,,,,,,
,,,,,,,,
Horizontal Unit,s,,,,,,,
Horizontal Scale,0.0002,,,,,,,
Horizontal Position,0,,,,,,,
Reference Point,50 %,,,,,,,
Sample Interval,1.6e-08,,,,,,,
Record Length,125000,,,,,,,
,,,,,,,,
Vertical Unit,,,,,,,,
Threshold,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
,,,,,,,,
,,,,,,,,
History Index,0,0,0,0,0,0,0,0
History Time Stamp,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
,,,,,,,,
TIME,D7,D6,D5,D4,D3,D2,D1,D0
-0.001,0,0,0,0,0,1,0,1
-0.00099998,0,0,0,0,0,1,0,1
-0.00099997,0,0,0,0,0,1,0,1
-0.00099995,0,0,0,0,0,1,0,1
-0.00099994,0,0,0,0,0,1,0,1
-0.00099992,0,0,0,0,0,1,0,1
-0.0009999,0,0,0,0,0,1,0,1
-0.00099989,0,0,0,0,0,1,0,1
-0.00099987,0,0,0,0,0,1,0,1
-0.00099986,0,0,0,0,0,1,0,1
-0.00099984,0,0,0,0,0,1,0,1
-0.00099982,0,0,0,0,0,1,0,1
-0.00099981,0,0,0,0,0,1,0,1
-0.00099979,0,0,0,0,0,1,0,1
-0.00099978,0,0,0,0,0,1,0,1
-0.00099976,0,0,0,0,0,1,0,1
-0.00099974,0,0,0,0,0,1,0,1
-0.00099973,0,0,0,0,0,1,0,1
-0.00099971,0,0,0,0,0,1,0,1
-0.0009997,0,0,0,0,0,1,0,1
-0.00099968,0,0,0,0,0,1,0,1
-0.00099966,0,0,0,0,0,1,0,1
-0.00099965,0,0,0,0,0,1,0,1
-0.00099963,0,0,0,0,0,1,0,1
-0.00099962,0,0,0,0,0,1,0,1
-0.0009996,0,0,0,0,0,1,0,1
-0.00099958,0,0,0,0,0,1,0,1
-0.00099957,0,0,0,0,0,1,0,1
-0.00099955,0,0,0,0,0,1,0,1
-0.00099954,0,0,0,0,0,1,0,1
-0.00099952,0,0,0,0,0,1,0,1
-0.0009995,0,0,0,0,0,1,0,1
-0.00099949,0,0,0,0,0,1,0,1
-0.00099947,0,0,0,0,0,1,0,1
-0.00099946,0,0,0,0,0,1,0,1
-0.00099944,0,0,0,0,0,1,0,1
-0.00099942,0,0,0,0,0,1,0,1
-0.00099941,0,0,0,0,0,1,0,1
-0.00099939,0,0,0,0,0,1,0,1
-0.00099938,0,0,0,0,0,1,0,1
-0.00099936,0,0,0,0,0,1,0,1
-0.00099934,0,0,0,0,0,1,0,1
-0.00099933,0,0,0,0,0,1,0,1
-0.00099931,0,0,0,0,0,1,0,1
-0.0009993,0,0,0,0,0,1,0,1
-0.00099928,0,0,0,0,0,1,0,1
-0.00099926,0,0,0,0,0,1,0,1
-0.00099925,0,0,0,0,0,1,0,1
-0.00099923,0,0,0,0,0,1,0,1
-0.00099922,0,0,0,0,0,1,0,1
-0.0009992,0,0,0,0,0,1,0,1
-0.00099918,0,0,0,0,0,1,0,1
-0.00099917,0,0,0,0,0,1,0,1
-0.00099915,0,0,0,0,0,1,0,1
-0.00099914,0,0,0,0,0,1,0,1
-0.00099912,0,0,0,0,0,1,0,1
-0.0009991,0,0,0,0,0,1,0,1
-0.00099909,0,0,0,0,0,1,0,1
-0.00099907,0,0,0,0,0,1,0,1
-0.00099906,0,0,0,0,0,1,0,1
-0.00099904,0,0,0,0,0,1,0,1
-0.00099902,0,0,0,0,0,1,0,1
-0.00099901,0,0,0,0,0,1,0,1
-0.00099899,0,0,0,0,0,1,0,1
-0.00099898,0,0,0,0,0,1,0,1
-0.00099896,0,0,0,0,0,1,0,1
-0.00099894,0,0,0,0,0,1,0,1
-0.00099893,0,0,0,0,0,1,0,1
-0.00099891,0,0,0,0,0,1,0,1
-0.0009989,0,0,0,0,0,1,0,1
-0.00099888,0,0,0,0,0,1,0,1
-0.00099886,0,0,0,0,0,1,0,1
-0.00099885,0,0,0,0,0,1,0,1
-0.00099883,0,0,0,0,0,1,0,1
-0.00099882,0,0,0,0,0,1,0,1
-0.0009988,0,0,0,0,0,1,0,1
-0.00099878,0,0,0,0,0,1,0,1
-0.00099877,0,0,0,0,0,1,0,1
-0.00099875,0,0,0,0,0,1,0,1
-0.00099874,0,0,0,0,0,1,0,1
-0.00099872,0,0,0,0,0,1,0,1
-0.0009987,0,0,0,0,0,1,0,1
-0.00099869,0,0,0,0,0,1,0,1
-0.00099867,0,0,0,0,0,1,0,1
-0.00099866,0,0,0,0,0,1,0,1
-0.00099864,0,0,0,0,0,1,0,1
-0.00099862,0,0,0,0,0,1,0,1
-0.00099861,0,0,0,0,0,1,0,1
-0.00099859,0,0,0,0,0,1,0,1
-0.00099858,0,0,0,0,0,1,0,1
-0.00099856,0,0,0,0,0,1,0,1
-0.00099854,0,0,0,0,0,1,0,1
-0.00099853,0,0,0,0,0,1,0,1
-0.00099851,0,0,0,0,0,1,0,1
-0.0009985,0,0,0,0,0,1,0,1
-0.00099848,0,0,0,0,0,1,0,1
-0.00099846,0,0,0,0,0,1,0,1
-0.00099845,0,0,0,0,0,1,0,1
-0.00099843,0,0,0,0,0,1,0,1
-0.00099842,0,0,0,0,0,1,0,1
-0.0009984,0,0,0,0,0,1,0,1
-0.00099838,0,0,0,0,0,1,0,1
-0.00099837,0,0,0,0,0,1,0,1
-0.00099835,0,0,0,0,0,1,0,1
-0.00099834,0,0,0,0,0,1,0,1
-0.00099832,0,0,0,0,0,1,0,1
-0.0009983,0,0,0,0,0,1,0,1
-0.00099829,0,0,0,0,0,1,0,1
-0.00099827,0,0,0,0,0,1,0,1
-0.00099826,0,0,0,0,0,1,0,1
-0.00099824,0,0,0,0,0,1,0,1
-0.00099822,0,0,0,0,0,1,0,1
-0.00099821,0,0,0,0,0,1,0,1
-0.00099819,0,0,0,0,0,1,0,1
-0.00099818,0,0,0,0,0,1,0,1
-0.00099816,0,0,0,0,0,1,0,1
-0.00099814,0,0,0,0,0,1,0,1
-0.00099813,0,0,0,0,0,1,0,1
-0.00099811,0,0,0,0,0,1,0,1
-0.0009981,0,0,0,0,0,1,0,1
-0.00099808,0,0,0,0,0,1,0,1
-0.00099806,0,0,0,0,0,1,0,1
-0.00099805,0,0,0,0,0,1,0,1
-0.00099803,0,0,0,0,0,1,0,1
-0.00099802,0,0,0,0,0,1,0,1
-0.000998,0,0,0,0,0,1,0,1
-0.00099798,0,0,0,0,0,1,0,1
-0.00099797,0,0,0,0,0,1,0,1
-0.00099795,0,0,0,0,0,1,0,1
-0.00099794,0,0,0,0,0,1,0,1
-0.00099792,0,0,0,0,0,1,0,1
-0.0009979,0,0,0,0,0,1,0,1
-0.00099789,0,0,0,0,0,1,0,1
-0.00099787,0,0,0,0,0,1,0,1
-0.00099786,0,0,0,0,0,1,0,1
-0.00099784,0,0,0,0,0,1,0,1
-0.00099782,0,0,0,0,0,1,0,1
-0.00099781,0,0,0,0,0,1,0,1
-0.00099779,0,0,0,0,0,1,0,1
-0.00099778,0,0,0,0,0,1,0,1
-0.00099776,0,0,0,0,0,1,0,1
-0.00099774,0,0,0,0,0,1,0,1
-0.00099773,0,0,0,0,0,1,0,1
-0.00099771,0,0,0,0,0,1,0,1
-0.0009977,0,0,0,0,0,1,0,1
-0.00099768,0,0,0,0,0,1,0,1
-0.00099766,0,0,0,0,0,1,0,1
-0.00099765,0,0,0,0,0,1,0,1
-0.00099763,0,0,0,0,0,1,0,1
-0.00099762,0,0,0,0,0,1,0,1
-0.0009976,0,0,0,0,0,1,0,1
-0.00099758,0,0,0,0,0,1,0,1
-0.00099757,0,0,0,0,0,1,0,1
-0.00099755,0,0,0,0,0,1,0,1
-0.00099754,0,0,0,0,0,1,0,1
-0.00099752,0,0,0,0,0,1,0,1
-0.0009975,0,0,0,0,0,1,0,1
-0.00099749,0,0,0,0,0,1,0,1
-0.00099747,0,0,0,0,0,1,0,1
-0.00099746,0,0,0,0,0,1,0,1
-0.00099744,0,0,0,0,0,1,0,1
-0.00099742,0,0,0,0,0,1,0,1
-0.00099741,0,0,0,0,0,1,0,1
-0.00099739,0,0,0,0,0,1,0,1
-0.00099738,0,0,0,0,0,1,0,1
-0.00099736,0,0,0,0,0,1,0,1
-0.00099734,0,0,0,0,0,1,0,1
-0.00099733,0,0,0,0,0,1,0,1
-0.00099731,0,0,0,0,0,1,0,1
-0.0009973,0,0,0,0,0,1,0,1
-0.00099728,0,0,0,0,0,1,0,1
-0.00099726,0,0,0,0,0,1,0,1
-0.00099725,0,0,0,0,0,1,0,1
-0.00099723,0,0,0,0,0,1,0,1
-0.00099722,0,0,0,0,0,1,0,1
-0.0009972,0,0,0,0,0,1,0,1
-0.00099718,0,0,0,0,0,1,0,1
-0.00099717,0,0,0,0,0,1,0,1
-0.00099715,0,0,0,0,0,1,0,1
-0.00099714,0,0,0,0,0,1,0,1
